file_name,box.0,box.1,box.2,box.3,text,label
0000971160.json,292,91,376,175,R&D,other
0000971160.json,219,316,225,327,:,question
0000971160.json,95,355,169,370,Suggestion:,question
0000971160.json,482,268,518,282,Date:,question
0000971160.json,511,309,570,323,Licensee,answer
0000971160.json,211,651,217,662,,question
0000971160.json,461,605,483,619,Yes,question
0000971160.json,545,603,563,617,No,question
0000971160.json,525,904,641,926,597005708,other
0000971160.json,256,201,423,230,R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM,header
0000971160.json,89,272,204,289,Name / Phone Ext. :,question
0000971160.json,215,271,451,287,"M. Hamann P. Harper, P. Martinez",answer
0000971160.json,543,264,590,279,9/ 3/ 92,answer
0000971160.json,420,310,491,323,R&D Group:,question
0000971160.json,236,313,327,327,J. S. Wigand,answer
0000971160.json,91,316,218,331,Supervisor / Manager,question
0000971160.json,190,346,594,447,Discontinue coal retention analyses on licensee submitted product samples (Note : Coal Retention testing is not performed by most licensees. Other B&W physical measurements as ends stability and inspection for soft spots in ciparettes are thought to be sufficient measures to assure cigarette physical integrity. The proposed action will increase laboratory productivity . ),answer
0000971160.json,95,486,250,504,Suggested Solutions (s) :,question
0000971160.json,263,483,593,553,Delete coal retention from the list of standard analyses performed on licensee submitted product samples. Special requests for coal retention testing could still be submitted on an exception basis.,answer
0000971160.json,96,608,398,624,Have you contacted your Manager/ Supervisor?,header
0000971160.json,98,651,211,665,Manager Comments:,question
0000971160.json,232,644,547,662,"Manager, please contact suggester and forward",answer
0000971160.json,99,662,323,677,comments to the Quality Council.,answer
0000971160.json,102,823,145,838,qip . wp,other

file_name,box.0,box.1,box.2,box.3,text,label
0000989556.json,76,129,118,139,Brand:,question
0000989556.json,73,141,119,153,Style:,question
0000989556.json,145,127,197,137,PHOENIX,answer
0000989556.json,349,130,409,139,Company:,question
0000989556.json,350,142,407,155,Country:,question
0000989556.json,350,157,402,167,Macket:,question
0000989556.json,419,144,467,154,CYPRUS,answer
0000989556.json,512,171,567,183,NICOSIA,answer
0000989556.json,404,240,461,255,Weights,header
0000989556.json,377,475,441,487,Adhesive:,header
0000989556.json,70,488,151,498,Supplier(s),question
0000989556.json,72,513,109,525,Color,question
0000989556.json,72,557,135,569,Porosity,question
0000989556.json,73,609,140,621,substance,question
0000989556.json,234,488,285,500,Ecusta,answer
0000989556.json,235,501,287,514,E.30639,answer
0000989556.json,228,543,259,555,None,answer
0000989556.json,293,558,356,567,(coresta),answer
0000989556.json,377,515,407,527,Type,question
0000989556.json,377,558,428,568,Overall,question
0000989556.json,475,558,508,570,skip,question
0000989556.json,377,599,443,609,Dimension,question
0000989556.json,377,614,458,624,Positioning,question
0000989556.json,476,488,515,500,Swift,answer
0000989556.json,554,558,591,567,Other,other
0000989556.json,494,587,522,596,N/A,answer
0000989556.json,448,558,457,567,x,answer
0000989556.json,299,683,336,693,Date:,question
0000989556.json,299,778,333,788,Date:,question
0000989556.json,533,829,653,853,620419245,other
0000989556.json,72,750,108,762,Date:,question
0000989556.json,73,777,137,789,Replaces:,question
0000989556.json,72,804,111,816,05045,other
0000989556.json,165,777,192,789,New,answer
0000989556.json,527,33,618,48,Page 1 of 10,other
0000989556.json,210,45,497,113,RESTRICTED BROWN & WILLIAMSON INTERNATIONAL TOBACCO PRODUCT SPECIFICATION,header
0000989556.json,145,141,208,154,HLB- KS,answer
0000989556.json,419,129,518,144,B. A. T. CYPRUS,answer
0000989556.json,349,169,500,182,Place of Manufacture:,question
0000989556.json,75,156,202,168,Licensee Ref. NO.:,question
0000989556.json,73,211,191,225,CIGARETTE MAKING,header
0000989556.json,73,240,247,253,Physical Characteristics,header
0000989556.json,73,266,249,280,Overall Cigarette Length,question
0000989556.json,72,280,203,291,Tobacco Rod Length,question
0000989556.json,72,295,203,305,Filter Plug Length,question
0000989556.json,73,305,329,320,Filter Plug Pressure Drop (unencap.),question
0000989556.json,72,320,317,332,Filter Plug Pressure Drop encap.,question
0000989556.json,70,334,240,346,Cigarette Circumference,question
0000989556.json,72,347,287,361,Total Pressure Drop (unencap.),question
0000989556.json,73,362,274,374,Total Pressure Drop (encap.),question
0000989556.json,67,377,175,387,Tipping Length,question
0000989556.json,72,391,300,402,Print Position (from filter end),question
0000989556.json,75,404,280,417,Moisture content (ex-catcher),question
0000989556.json,73,419,238,431,Filter ventilation Rate,question
0000989556.json,350,268,395,280,84 mm,answer
0000989556.json,347,280,395,293,64 mm,answer
0000989556.json,349,296,396,307,20 mm,answer
0000989556.json,347,308,397,320,56 mm,answer
0000989556.json,346,322,397,334,56 mm,answer
0000989556.json,343,337,393,347,24.75 mm,answer
0000989556.json,349,349,395,361,90 mm,answer
0000989556.json,343,362,394,374,110 mm,answer
0000989556.json,350,377,396,391,25 mm,answer
0000989556.json,349,392,395,402,27 mm,answer
0000989556.json,343,404,386,416,13.5 %,answer
0000989556.json,347,416,386,430,Nil %,answer
0000989556.json,407,265,513,280,Total Cigt. Wt.,question
0000989556.json,551,266,640,281,974 mg,answer
0000989556.json,557,295,636,308,749 mg,answer
0000989556.json,555,320,636,335,245 mg/cc,answer
0000989556.json,404,320,552,334,Net Tob. Rod Density,question
0000989556.json,404,295,515,308,Net Net Tobacco,question
0000989556.json,75,445,293,460,Tipping and Tipping Application,question
0000989556.json,73,473,172,486,Tipping Paper:,header
0000989556.json,72,501,216,513,Supplier Code No(s).,question
0000989556.json,222,516,323,525,Imitation Cork,answer
0000989556.json,72,528,204,554,Perforation Type and No. of lines,question
0000989556.json,75,570,196,582,Print Description,question
0000989556.json,213,572,324,584,Brown on yellow,answer
0000989556.json,73,585,163,595,Bobbin Width,question
0000989556.json,73,596,169,608,Robbin Length,question
0000989556.json,234,612,359,625,36 gm/ m2,answer
0000989556.json,229,584,366,597,50 mm mm,answer
0000989556.json,229,599,358,612,2700 m,answer
0000989556.json,73,638,301,651,(Indicate N/A If Not Applicable),other
0000989556.json,377,488,456,502,Supplier (s),question
0000989556.json,376,501,521,514,Supplier Code No (s),question
0000989556.json,527,501,585,514,T.K. 9220,answer
0000989556.json,418,515,580,525,Printed Imitation cork,answer
0000989556.json,374,543,521,556,Application Pattern:,header
0000989556.json,377,585,482,597,Glue Pree Area,question
0000989556.json,510,614,636,624,mm from mouth end,answer
0000989556.json,510,599,630,611,mm x mm,answer
0000989556.json,299,656,388,666,Prepared by:,question
0000989556.json,419,656,544,668,M. HAMERTON / enm,answer
0000989556.json,419,680,498,693,"May 1, 1985",answer
0000989556.json,299,710,388,721,Approved by:,question
0000989556.json,391,723,627,762,"Director of Technical Operations, Brown & Williamson International Tobacco",answer
0000989556.json,139,747,226,764,"May 1, 1985",answer
0000989556.json,410,778,493,792,"May 1, 1985",answer

file_name,box.0,box.1,box.2,box.3,text,label
0000990274.json,61,207,97,221,DATE:,question
0000990274.json,61,235,129,249,INITIATED,question
0000990274.json,134,236,156,250,BY:,question
0000990274.json,60,261,138,276,COMPLETION,question
0000990274.json,59,320,119,337,COUNTRY:,question
0000990274.json,59,348,119,363,PRODUCT:,question
0000990274.json,191,321,247,335,BELGIUM,answer
0000990274.json,56,549,80,562,BY:,question
0000990274.json,56,591,92,604,DATE:,question
0000990274.json,54,626,100,639,NOTES:,question
0000990274.json,501,839,623,871,620429480,other
0000990274.json,527,162,621,189,RECEIVED,question
0000990274.json,214,94,455,140,SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS,header
0000990274.json,563,11,667,51,,other
0000990274.json,60,177,149,192,REQUEST NO.:,question
0000990274.json,196,177,232,194,25- 84,answer
0000990274.json,191,207,299,222,"March 27, 1984",answer
0000990274.json,193,221,346,252,P. H. HARPER PHH,answer
0000990274.json,74,292,164,307,TARGET DATE:,question
0000990274.json,191,292,296,308,"April 13, 1984",answer
0000990274.json,193,348,422,365,LUCKY STRIKE Filter and VICEROY,answer
0000990274.json,59,377,167,393,NATURE OF WORK:,question
0000990274.json,168,404,527,437,Advise if locally obtained Yucatan Honey (sample enclosed) is an acceptable substitute for HALWAY.,answer
0000990274.json,56,462,153,477,R & D COMMENTS:,question
0000990274.json,183,465,416,540,Target the P A 29Mar 84,answer
0000990274.json,182,626,575,641,a) Nature of work should be specified in exact terms.,answer
0000990274.json,180,652,547,681,b) R & D should advise if completion date cannot be met.,answer
0000990274.json,179,697,532,740,c) Two copies of this form to be sent to R & D by initiator and R & D is to return to T. O. one completed copy.,answer
0000990274.json,53,751,101,767,MH/ enm,other
0000990274.json,53,796,115,824,0036/ (r) # 2894M,other
0000990274.json,531,193,623,248,APR 2 1984 P. H. H.,answer

file_name,box.0,box.1,box.2,box.3,text,label
0000999294.json,60,121,127,135,SUBJECT:,question
0000999294.json,59,152,118,166,SAMPLE:,question
0000999294.json,57,237,154,251,CIGARETTES:,question
0000999294.json,473,218,502,235,TAR,question
0000999294.json,473,235,501,249,9.1,answer
0000999294.json,518,219,550,233,NIC,question
0000999294.json,520,235,547,252,.88,answer
0000999294.json,567,221,613,235,MOIST,question
0000999294.json,571,232,605,246,14.0,answer
0000999294.json,637,223,676,237,MENT,question
0000999294.json,645,276,672,291,.841,answer
0000999294.json,54,353,151,370,PREFERENCE:,question
0000999294.json,215,429,262,444,Bright,question
0000999294.json,380,430,401,441,39,answer
0000999294.json,459,428,472,442,34,answer
0000999294.json,527,430,549,439,43,answer
0000999294.json,596,429,616,441,35,answer
0000999294.json,656,430,677,442,42,answer
0000999294.json,660,458,677,473,8,answer
0000999294.json,601,458,614,475,9,answer
0000999294.json,531,456,545,473,11,answer
0000999294.json,459,459,474,474,6,answer
0000999294.json,383,460,400,474,8,answer
0000999294.json,373,478,399,497,200,answer
0000999294.json,452,480,477,494,100,answer
0000999294.json,521,479,552,492,100,answer
0000999294.json,590,480,618,495,100,answer
0000999294.json,653,479,677,493,100,answer
0000999294.json,13,522,110,533,ATTRIBUTES:,question
0000999294.json,380,399,421,412,53+++,answer
0000999294.json,455,397,497,414,60+++,answer
0000999294.json,532,399,551,413,46,answer
0000999294.json,599,396,637,411,56+++,answer
0000999294.json,660,396,677,411,50,answer
0000999294.json,317,355,344,372,(n=),other
0000999294.json,167,525,206,539,Total,header
0000999294.json,284,520,318,537,Male,question
0000999294.json,381,519,431,537,Female,header
0000999294.json,613,518,637,535,35+,header
0000999294.json,144,547,170,565,KL,question
0000999294.json,191,545,241,563,Bright,question
0000999294.json,259,547,283,562,KL,answer
0000999294.json,309,544,355,564,Bright,question
0000999294.json,370,546,391,559,KL,question
0000999294.json,414,546,460,560,Bright,question
0000999294.json,481,547,505,560,KL,question
0000999294.json,531,546,578,559,Bright,question
0000999294.json,591,547,613,558,KL,question
0000999294.json,639,545,684,557,Bright,question
0000999294.json,366,577,398,592,4.51,answer
0000999294.json,320,579,351,594,4.45,answer
0000999294.json,254,577,295,591,4.09**,answer
0000999294.json,205,579,237,594,4.59,answer
0000999294.json,140,577,197,594,4.31***,answer
0000999294.json,140,608,191,622,3.60**,answer
0000999294.json,139,638,191,653,3.64***,answer
0000999294.json,142,670,199,685,3.39***,answer
0000999294.json,139,700,193,713,3.12***,answer
0000999294.json,142,730,197,745,3.56***,answer
0000999294.json,134,765,176,780,4.00,answer
0000999294.json,202,608,237,623,3.42,answer
0000999294.json,250,607,296,624,3.73**,answer
0000999294.json,246,640,304,654,3.58***,answer
0000999294.json,204,643,241,655,4.94,answer
0000999294.json,200,669,240,688,3.04,answer
0000999294.json,248,670,308,688,3.46***,answer
0000999294.json,248,696,301,715,3.28***,answer
0000999294.json,200,697,239,716,2.78,answer
0000999294.json,202,730,239,750,3.24,answer
0000999294.json,197,761,241,780,3.96,answer
0000999294.json,246,762,279,777,4.02,answer
0000999294.json,249,730,302,744,3.69***,answer
0000999294.json,321,669,353,689,3.02,answer
0000999294.json,321,698,350,715,2.78,answer
0000999294.json,320,731,353,748,3.21,answer
0000999294.json,314,759,356,780,3.95,answer
0000999294.json,363,763,397,778,3.99,answer
0000999294.json,360,732,398,746,3.44,answer
0000999294.json,363,695,402,714,2.97*,answer
0000999294.json,364,666,408,684,3.33**,answer
0000999294.json,363,637,414,655,3.70***,answer
0000999294.json,364,607,404,624,3.47,answer
0000999294.json,318,610,350,624,3.43,answer
0000999294.json,316,643,351,657,4.85,answer
0000999294.json,427,575,460,590,4.71,answer
0000999294.json,427,608,460,625,3.41,answer
0000999294.json,423,636,465,656,5.02,answer
0000999294.json,427,671,460,685,3.06,answer
0000999294.json,422,696,463,715,2.78,answer
0000999294.json,425,732,459,749,3.26,answer
0000999294.json,427,764,459,778,3.96,answer
0000999294.json,473,574,524,589,4.35**,answer
0000999294.json,472,606,516,621,3.61*,answer
0000999294.json,475,639,528,654,3.63***,answer
0000999294.json,474,667,527,687,3.45***,answer
0000999294.json,474,695,524,714,3.17***,answer
0000999294.json,474,728,525,748,3.52***,answer
0000999294.json,476,765,518,777,4.07**,answer
0000999294.json,539,577,576,591,4.74,answer
0000999294.json,541,607,574,621,3.38,answer
0000999294.json,545,638,578,656,5.31,answer
0000999294.json,540,667,574,687,2.99,answer
0000999294.json,542,697,574,715,2.74,answer
0000999294.json,546,732,571,749,3.07,answer
0000999294.json,544,761,573,781,3.92,answer
0000999294.json,590,574,623,589,4.27,answer
0000999294.json,590,607,625,620,3.58,answer
0000999294.json,590,638,640,652,3.65***,answer
0000999294.json,592,672,636,684,2.34**,answer
0000999294.json,592,692,636,713,3.08**,answer
0000999294.json,591,730,629,747,3.60*,answer
0000999294.json,587,763,620,777,3.94,answer
