file_name,box.0,box.1,box.2,box.3,text,label
80718412_8413.json,73,205,130,219,MARKET:,question
80718412_8413.json,73,257,137,274,PRODUCT:,question
80718412_8413.json,68,447,162,461,QUANTITIES:,question
80718412_8413.json,201,658,250,671,Date:,question
80718412_8413.json,201,686,248,697,Place:,question
80718412_8413.json,203,670,249,683,Time:,question
80718412_8413.json,215,588,222,598,3,answer
80718412_8413.json,218,203,259,216,Boston,answer
80718412_8413.json,577,789,597,871,80718412,other
80718412_8413.json,203,102,468,164,FEDERAL DISTRIBUTING CORPORATION CIGARETTE SAMPLING PROGRAM,header
80718412_8413.json,216,256,319,269,Old Gold Lights,answer
80718412_8413.json,216,323,399,337,October 3 through October 5,answer
80718412_8413.json,74,310,141,339,SAMPLING DATES: *,question
80718412_8413.json,71,378,139,406,SAMPLING HOURS: *,question
80718412_8413.json,216,388,359,404,9: 30 a. m. - 5: 30 p. m.,answer
80718412_8413.json,216,443,264,457,"270, 000",answer
80718412_8413.json,71,499,153,540,NUMBER OF SAMPLING PERSONNEL:,question
80718412_8413.json,215,522,283,534,24 per day,answer
80718412_8413.json,70,577,168,605,NUMBER OF SUPERVISORS:,question
80718412_8413.json,70,644,159,671,ORIENTATION MEETING:,header
80718412_8413.json,267,658,343,669,October 3rd,answer
80718412_8413.json,268,673,328,683,9: 30 a. m.,answer
80718412_8413.json,268,684,493,736,"Boston Park Plaza Room 412 64 Arlington Street Boston, Mass 02117 617/ 426- 2000",answer
80718412_8413.json,214,791,281,805,Tony Anari,answer
80718412_8413.json,71,778,202,803,FDC REPRESENTATIVES:,question
80718412_8413.json,73,845,414,860,*Subject to change due to local conditions,other
